Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,ID do líder do projeto,Descrição do projeto,Prioridade,Resolução,Responsável,ID do responsável,Relator,ID do relator,Criador,ID do criador,Criado,Atualizado(a),Última visualização,Resolvido,Data limite,Votos,Descrição,Ambiente,Observadores,ID dos observadores,Estimativa original,Estimativa de trabalho restante,Tempo gasto,Razão Trabalhada,Σ da Estimativa Original,Σ da estimativa de trabalho restante,Σ de Tempo Gasto,Nível de Segurança,Campo personalizado (Actual end),Campo personalizado (Actual start),Campo personalizado (Change reason),Campo personalizado (Change risk),Campo personalizado (Change type),Campo personalizado (Compass),Campo personalizado (Epic Color),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Formulários abertos),Campo personalizado (Formulários bloqueados),Campo personalizado (Formulários enviados),Campo personalizado (Formulários totais),Campo personalizado (Impact),Campo personalizado (Issue color),Campo personalizado (Rank),Campo personalizado (Request Type),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Target end),Campo personalizado (Target start),Campo personalizado (Team),Campo personalizado ([CHART] Date of First Response),Campo personalizado (development),Categoria do status
João,ABC-29,10028,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 8:49 PM,28/mai/23 8:54 PM,28/mai/23 8:58 PM,,,0,João deseja utilizar a web analise para ver o tempo de cada compra e qual produto o cliente está mais comprando para ver demandas.,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,Historia do usuário,,,,,,,,Itens Pendentes
Ana,ABC-28,10027,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 8:49 PM,28/mai/23 8:51 PM,28/mai/23 8:50 PM,,,0,Ana quer utilizar a web analise para verificar se seus produtos estão sendo enviados corretamente e ver avaliações do seus clientes.,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,Historia do usuário,,,,,,,,Itens Pendentes
O Site deve ser testado a cada 5 dias,ABC-27,10026,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:57 PM,28/mai/23 7:57 PM,28/mai/23 7:57 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,Critérios de aceitação,,,,,,,,Itens Pendentes
"Devo ser capaz de visualizar os dados por dia, semana, mês ou ano.",ABC-26,10025,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:56 PM,28/mai/23 7:56 PM,28/mai/23 7:56 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,Critérios de aceitação,,,,,,,,Itens Pendentes
Desenvolvimento do site deve ser mostrado a cada 5 dias,ABC-25,10024,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:56 PM,28/mai/23 7:56 PM,28/mai/23 7:57 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,Critérios de aceitação,,,,,,,,Itens Pendentes
Eng. de dados,ABC-24,10023,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 9:01 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,Equipe,,,,,,,,Itens Pendentes
DevOps,ABC-23,10022,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,Equipe,,,,,,,,Itens Pendentes
Front-end,ABC-22,10021,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,Equipe,,,,,,,,Itens Pendentes
Back-end,ABC-21,10020,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,Equipe,,,,,,,,Itens Pendentes
Gerente de projetos,ABC-20,10019,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 9:00 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,Equipe,,,,,,,,Itens Pendentes
